S_No,Speed_Range,Weight,Dead_Alive,Airbag,Seatbelt,Frontal,Sex,Age_of_Occupant,Year_of_Accident,Vehicle_Year,Airbag_Deploy,Occ_Role,Inj_Severity
54,40-54,1343.968,alive,No Airbag,Yes,TRUE,Male,27,1997,1968,Unavailable,Driver,0
55,25-39,29.036,alive,No Airbag,Yes,TRUE,Male,18,1997,1977,Unavailable,Driver,0
56,55+,29.036,alive,No Airbag,Yes,FALSE,Female,20,1997,1986,Unavailable,Driver,3
57,25-39,25.069,alive,Airbag,No,TRUE,Male,74,1997,1993,Deploy,Driver,3
58, 1-9,565.864,alive,Airbag,No,FALSE,Female,17,1997,1996,NoDeploy,Driver,0
59, 1-9,565.864,alive,Airbag,No,FALSE,Female,16,1997,1996,NoDeploy,Passenger,0
60,25-39,37.528,alive,Airbag,No,FALSE,Female,20,1997,1996,NoDeploy,Driver,3
61,25-39,37.528,alive,Airbag,No,FALSE,Male,19,1997,1996,NoDeploy,Passenger,2
62,25-39,107.453,alive,No Airbag,No,TRUE,Male,26,1997,1983,Unavailable,Driver,3
63, 10-24,2135.417,alive,Airbag,Yes,TRUE,Male,32,1997,1995,NoDeploy,Driver,0
64,25-39,82.98,alive,No Airbag,No,FALSE,Female,78,1997,1986,Unavailable,Driver,3
65,25-39,82.98,alive,No Airbag,Yes,TRUE,Male,40,1997,1985,Unavailable,Driver,0
66,25-39,82.98,alive,No Airbag,Yes,TRUE,Female,36,1997,1985,Unavailable,Passenger,0
67, 10-24,568.999,alive,No Airbag,No,TRUE,Male,76,1997,1989,Unavailable,Driver,5
68, 10-24,211.897,alive,No Airbag,No,FALSE,Female,55,1997,1983,Unavailable,Driver,1
69, 10-24,211.897,alive,No Airbag,Yes,TRUE,Male,45,1997,1986,Unavailable,Driver,0
70, 10-24,211.897,alive,No Airbag,Yes,FALSE,Female,20,1997,1992,Unavailable,Driver,1
71, 10-24,211.897,alive,No Airbag,Yes,FALSE,Female,43,1997,1992,Unavailable,Passenger,1
72,25-39,457.305,alive,No Airbag,Yes,TRUE,Male,21,1997,1994,Unavailable,Driver,0
73, 10-24,653.82,alive,No Airbag,Yes,TRUE,Male,44,1997,1988,Unavailable,Driver,0
74, 10-24,653.82,alive,No Airbag,Yes,TRUE,Female,62,1997,1988,Unavailable,Passenger,0
75,25-39,37.528,alive,Airbag,Yes,FALSE,Female,20,1997,1997,Deploy,Driver,3
76,25-39,37.528,alive,Airbag,Yes,FALSE,Female,17,1997,1997,Deploy,Passenger,3
77,25-39,82.98,alive,No Airbag,No,TRUE,Male,24,1997,1983,Unavailable,Driver,2
78,25-39,82.98,alive,No Airbag,No,TRUE,Male,62,1997,1983,Unavailable,Passenger,2
79,25-39,82.98,alive,No Airbag,No,TRUE,Female,37,1997,1981,Unavailable,Driver,3
80, 10-24,167.32,alive,No Airbag,Yes,TRUE,Female,82,1997,1988,Unavailable,Driver,0
81, 10-24,167.32,alive,No Airbag,Yes,TRUE,Female,44,1997,1988,Unavailable,Passenger,1
82, 10-24,361.101,alive,Airbag,Yes,FALSE,Female,23,1997,1994,NoDeploy,Driver,0
83,55+,27.078,dead,No Airbag,Yes,TRUE,Male,67,1997,1992,Unavailable,Driver,4
84,55+,27.078,dead,No Airbag,Yes,TRUE,Female,64,1997,1992,Unavailable,Passenger,4
85,40-54,27.078,alive,No Airbag,Yes,TRUE,Male,65,1997,1991,Unavailable,Driver,3
86, 10-24,91.694,alive,No Airbag,Yes,FALSE,Female,42,1997,1988,Unavailable,Driver,1
87, 10-24,91.694,alive,No Airbag,No,TRUE,Female,21,1997,1989,Unavailable,Driver,1
88, 10-24,39.373,alive,Airbag,Yes,TRUE,Female,46,1997,1996,Deploy,Driver,1
89, 10-24,39.373,alive,Airbag,Yes,TRUE,Female,17,1997,1996,Deploy,Passenger,1
90, 10-24,39.373,alive,No Airbag,Yes,FALSE,Female,81,1997,1991,Unavailable,Driver,1
91, 1-9,84.06,alive,Airbag,Yes,FALSE,Male,50,1997,1992,NoDeploy,Driver,0
92,55+,51.556,alive,No Airbag,Yes,FALSE,Male,33,1997,1991,Unavailable,Driver,3
93,40-54,51.556,alive,Airbag,Yes,TRUE,Male,40,1997,1995,Deploy,Driver,1
94, 10-24,222.369,alive,Airbag,Yes,TRUE,Male,23,1997,1995,NoDeploy,Driver,1
95, 10-24,91.694,alive,Airbag,No,FALSE,Female,42,1997,1993,NoDeploy,Driver,1
96, 10-24,91.694,alive,No Airbag,Yes,TRUE,Female,17,1997,1986,Unavailable,Driver,1
97, 10-24,227.936,alive,No Airbag,Yes,FALSE,Male,71,1997,1987,Unavailable,Driver,0
98, 10-24,227.936,alive,No Airbag,Yes,TRUE,Male,66,1997,1979,Unavailable,Driver,0
99, 10-24,37.528,alive,No Airbag,No,FALSE,Female,20,1997,1989,Unavailable,Driver,1
100, 10-24,101.07,alive,No Airbag,No,TRUE,Male,18,1997,1987,Unavailable,Driver,3
101, 10-24,101.07,alive,No Airbag,No,TRUE,Male,26,1997,1987,Unavailable,Passenger,1
102,55+,27.078,alive,No Airbag,No,TRUE,Male,20,1997,1981,Unavailable,Driver,3
103,55+,27.078,alive,No Airbag,No,TRUE,Female,19,1997,1981,Unavailable,Passenger,3
104, 10-24,43.661,alive,No Airbag,No,FALSE,Male,18,1997,1986,Unavailable,Driver,3
105,55+,43.661,alive,No Airbag,Yes,FALSE,Male,25,1997,1979,Unavailable,Driver,3
106, 10-24,402.048,alive,No Airbag,Yes,FALSE,Male,21,1997,1982,Unavailable,Driver,1
107, 10-24,402.048,alive,No Airbag,Yes,FALSE,Female,18,1997,1982,Unavailable,Passenger,1
108, 10-24,402.048,alive,No Airbag,Yes,TRUE,Female,18,1997,1990,Unavailable,Driver,1
109, 10-24,402.048,alive,No Airbag,No,TRUE,Female,20,1997,1990,Unavailable,Passenger,1
110, 10-24,25.069,alive,No Airbag,Yes,TRUE,Male,23,1997,1993,Unavailable,Driver,1
111,25-39,29.368,alive,Airbag,No,TRUE,Male,26,1997,1992,Deploy,Driver,3
112,25-39,29.368,alive,No Airbag,No,TRUE,Male,55,1997,1992,Unavailable,Passenger,1
113, 10-24,126.669,alive,No Airbag,Yes,FALSE,Female,37,1997,1988,Unavailable,Driver,0
114, 10-24,126.669,alive,Airbag,No,TRUE,Female,50,1997,1996,Deploy,Driver,1
115, 10-24,91.694,alive,No Airbag,Yes,FALSE,Male,45,1997,1981,Unavailable,Driver,5
116, 10-24,91.694,alive,No Airbag,Yes,TRUE,Male,75,1997,1987,Unavailable,Driver,0
117, 10-24,30.946,alive,Airbag,Yes,TRUE,Female,57,1997,1995,Deploy,Driver,1
118, 10-24,203.86,alive,No Airbag,Yes,TRUE,Female,17,1997,1989,Unavailable,Driver,0
119, 10-24,203.86,alive,No Airbag,Yes,TRUE,Female,17,1997,1989,Unavailable,Passenger,0
120, 10-24,37.528,alive,Airbag,Yes,TRUE,Female,50,1997,1995,Deploy,Driver,3
121,40-54,25.069,alive,No Airbag,No,FALSE,Female,77,1997,1989,Unavailable,Driver,3
122,55+,408.725,alive,Airbag,No,TRUE,Male,22,1997,1994,Deploy,Driver,2
123, 10-24,25.069,alive,No Airbag,Yes,FALSE,Male,53,1997,1991,Unavailable,Driver,3
124, 10-24,403.526,alive,Airbag,Yes,FALSE,Male,42,1997,1991,Deploy,Driver,2
125, 10-24,403.526,alive,No Airbag,Yes,FALSE,Male,42,1997,1991,Unavailable,Passenger,0
126,40-54,37.528,alive,No Airbag,Yes,TRUE,Male,20,1997,1987,Unavailable,Driver,3
127,40-54,37.528,alive,Airbag,Yes,TRUE,Female,43,1997,1997,Deploy,Driver,3
128,25-39,25.069,alive,No Airbag,Yes,TRUE,Male,17,1997,1985,Unavailable,Driver,1
129,25-39,25.069,alive,No Airbag,No,TRUE,Male,16,1997,1985,Unavailable,Passenger,3
130,25-39,25.069,alive,Airbag,No,TRUE,Female,30,1997,1992,Deploy,Driver,1
131, 10-24,573.616,alive,No Airbag,Yes,TRUE,Female,61,1997,1993,Unavailable,Driver,1
132, 10-24,573.616,alive,No Airbag,No,FALSE,Female,36,1997,1983,Unavailable,Driver,1
133, 10-24,573.616,alive,No Airbag,No,FALSE,Female,38,1997,1983,Unavailable,Passenger,1
134,25-39,100.213,alive,Airbag,Yes,FALSE,Male,31,1997,1996,NoDeploy,Driver,5
135,25-39,100.213,alive,Airbag,No,FALSE,Female,25,1997,1996,NoDeploy,Passenger,5
136,40-54,100.213,alive,No Airbag,Yes,TRUE,Male,52,1997,1984,Unavailable,Driver,1
137, 10-24,84.06,alive,No Airbag,No,FALSE,Female,46,1997,1987,Unavailable,Driver,1
138, 10-24,82.98,alive,Airbag,Yes,TRUE,Female,30,1997,1993,Deploy,Driver,3
139, 10-24,328.911,alive,No Airbag,Yes,FALSE,Male,16,1997,1991,Unavailable,Driver,3
140, 10-24,328.911,alive,No Airbag,Yes,FALSE,Female,16,1997,1991,Unavailable,Passenger,2
141,25-39,27.409,alive,No Airbag,Yes,TRUE,Male,58,1997,1992,Unavailable,Driver,3
142, 10-24,27.409,alive,No Airbag,Yes,TRUE,Female,18,1997,1987,Unavailable,Driver,1
143, 10-24,25.069,alive,No Airbag,Yes,FALSE,Male,21,1997,1992,Unavailable,Driver,3
144, 10-24,25.069,alive,No Airbag,Yes,FALSE,Female,17,1997,1992,Unavailable,Passenger,3
145, 10-24,203.148,alive,No Airbag,No,TRUE,Male,71,1997,1986,Unavailable,Driver,2
146, 10-24,158.203,alive,Airbag,Yes,TRUE,Female,72,1997,1994,Deploy,Driver,2
147, 10-24,158.203,alive,Airbag,Yes,TRUE,Male,71,1997,1994,Deploy,Passenger,1
148, 10-24,1042.167,alive,No Airbag,Yes,TRUE,Female,74,1997,1988,Unavailable,Driver,1
149, 10-24,108.015,alive,No Airbag,Yes,TRUE,Male,41,1997,1985,Unavailable,Driver,1
150, 10-24,108.015,alive,No Airbag,Yes,TRUE,Male,54,1997,1987,Unavailable,Driver,1
151, 10-24,108.015,alive,No Airbag,Yes,TRUE,Female,61,1997,1987,Unavailable,Passenger,1
152,25-39,45.376,alive,No Airbag,No,TRUE,Male,41,1997,1984,Unavailable,Driver,3
153, 10-24,128.237,alive,No Airbag,Yes,TRUE,Male,17,1997,1988,Unavailable,Driver,0
154, 10-24,128.237,alive,No Airbag,Yes,TRUE,Female,17,1997,1988,Unavailable,Passenger,1
155, 10-24,44.333,alive,Airbag,Yes,TRUE,Male,67,1997,1997,Deploy,Driver,1
156, 10-24,44.333,alive,Airbag,Yes,TRUE,Female,66,1997,1997,Deploy,Passenger,1
157,25-39,94.649,alive,No Airbag,Yes,FALSE,Male,23,1997,1984,Unavailable,Driver,0
158, 10-24,94.649,alive,No Airbag,Yes,TRUE,Male,29,1997,1988,Unavailable,Driver,1
159,25-39,94.649,alive,No Airbag,Yes,TRUE,Male,46,1997,1984,Unavailable,Driver,1
160, 10-24,305.9,alive,No Airbag,No,TRUE,Male,23,1997,1986,Unavailable,Driver,2
161, 10-24,305.9,alive,No Airbag,No,TRUE,Male,24,1997,1986,Unavailable,Passenger,3
162,25-39,25.492,alive,No Airbag,Yes,TRUE,Male,67,1997,1986,Unavailable,Driver,3
163,40-54,25.492,alive,No Airbag,No,FALSE,Male,51,1997,1985,Unavailable,Driver,3
164,40-54,25.492,alive,No Airbag,No,FALSE,Male,46,1997,1985,Unavailable,Passenger,2
165,25-39,25.492,alive,No Airbag,Yes,TRUE,Male,63,1997,1988,Unavailable,Driver,1
166,25-39,25.492,alive,No Airbag,Yes,TRUE,Female,51,1997,1988,Unavailable,Passenger,3
167, 10-24,452.252,alive,Airbag,Yes,TRUE,Female,21,1997,1992,Deploy,Driver,2
168,25-39,452.252,alive,No Airbag,No,TRUE,Female,20,1997,1991,Unavailable,Driver,3
169, 10-24,2321.688,alive,Airbag,Yes,TRUE,Female,21,1997,1996,Deploy,Driver,2
170, 10-24,2321.688,alive,No Airbag,Yes,TRUE,Male,26,1997,1996,Unavailable,Passenger,0
171,25-39,38.783,alive,No Airbag,No,TRUE,Male,30,1997,1985,Unavailable,Driver,0
172, 1-9,190.539,alive,No Airbag,No,FALSE,Female,28,1997,1986,Unavailable,Driver,1
173, 10-24,258.58,alive,No Airbag,No,FALSE,Female,44,1997,1989,Unavailable,Driver,2
174, 10-24,258.58,alive,No Airbag,No,FALSE,Female,30,1997,1989,Unavailable,Passenger,0
175, 10-24,75.108,alive,No Airbag,No,FALSE,Male,43,1997,1995,Unavailable,Driver,1
176, 10-24,803.824,alive,No Airbag,No,TRUE,Male,38,1997,1988,Unavailable,Driver,1
177, 10-24,55.181,alive,No Airbag,Yes,TRUE,Male,59,1997,1981,Unavailable,Driver,0
178,40-54,175.933,alive,No Airbag,Yes,TRUE,Male,36,1997,1988,Unavailable,Driver,0
179, 10-24,157.869,alive,No Airbag,No,FALSE,Female,53,1997,1984,Unavailable,Driver,1
180, 10-24,157.869,alive,Airbag,Yes,TRUE,Female,32,1997,1996,NoDeploy,Driver,0
181, 10-24,157.869,alive,Airbag,Yes,TRUE,Female,26,1997,1996,NoDeploy,Passenger,0
182,25-39,10.441,alive,Airbag,Yes,TRUE,Female,36,1997,1996,NoDeploy,Driver,1
183,25-39,744.744,alive,No Airbag,No,TRUE,Male,39,1997,1984,Unavailable,Driver,2
184, 10-24,22.876,alive,No Airbag,Yes,TRUE,Male,26,1997,1987,Unavailable,Driver,1
185,25-39,22.876,alive,No Airbag,Yes,TRUE,Male,28,1997,1988,Unavailable,Driver,1
186, 10-24,199.728,alive,No Airbag,No,TRUE,Male,23,1997,1983,Unavailable,Driver,1
187, 1-9,81.999,alive,Airbag,Yes,FALSE,Male,49,1997,1992,NoDeploy,Driver,1
188, 10-24,72.081,alive,No Airbag,No,TRUE,Male,39,1997,1994,Unavailable,Driver,1
189,25-39,219.703,alive,No Airbag,Yes,TRUE,Female,35,1997,1992,Unavailable,Driver,1
190,25-39,227.275,alive,No Airbag,Yes,TRUE,Male,38,1997,1990,Unavailable,Driver,1
191,25-39,30.694,alive,No Airbag,Yes,TRUE,Female,38,1997,1987,Unavailable,Driver,3
192,25-39,30.694,alive,No Airbag,Yes,TRUE,Male,61,1997,1987,Unavailable,Passenger,0
193,25-39,63.259,alive,Airbag,Yes,TRUE,Male,19,1997,1996,Deploy,Driver,1
194, 10-24,9.74,alive,Airbag,No,TRUE,Male,22,1997,1997,Deploy,Driver,1
195, 10-24,543.4,alive,No Airbag,No,TRUE,Male,26,1997,1986,Unavailable,Driver,0
196, 10-24,543.4,alive,No Airbag,No,TRUE,Female,26,1997,1986,Unavailable,Passenger,1
197,40-54,11.257,alive,No Airbag,Yes,TRUE,Female,32,1997,1981,Unavailable,Driver,0
198, 10-24,1107.54,alive,No Airbag,Yes,FALSE,Female,19,1997,1986,Unavailable,Driver,0
199, 10-24,242.264,alive,No Airbag,No,TRUE,Male,31,1997,1989,Unavailable,Driver,1
200, 10-24,242.264,alive,No Airbag,No,TRUE,Male,31,1997,1989,Unavailable,Passenger,1
201, 10-24,28.069,alive,Airbag,No,FALSE,Male,78,1997,1993,Deploy,Driver,1
202, 10-24,10.235,alive,Airbag,No,TRUE,Male,28,1997,1994,NoDeploy,Driver,3
203, 10-24,67.138,alive,Airbag,Yes,FALSE,Male,22,1997,1995,NoDeploy,Driver,1
204, 10-24,67.138,alive,Airbag,Yes,FALSE,Female,70,1997,1995,NoDeploy,Passenger,2
205, 10-24,67.138,alive,No Airbag,No,TRUE,Male,66,1997,1989,Unavailable,Driver,3
206, 1-9,949.738,alive,No Airbag,Yes,FALSE,Male,43,1997,1990,Unavailable,Driver,0
207,55+,13.91,alive,No Airbag,No,TRUE,Male,21,1997,1985,Unavailable,Driver,3
208, 10-24,28.166,alive,No Airbag,Yes,FALSE,Female,39,1997,1992,Unavailable,Driver,1
209, 10-24,28.166,alive,No Airbag,Yes,TRUE,Female,17,1997,1993,Unavailable,Driver,3
210, 10-24,28.166,alive,No Airbag,No,TRUE,Female,18,1997,1993,Unavailable,Passenger,3
211,25-39,121.485,alive,Airbag,Yes,FALSE,Female,77,1997,1995,NoDeploy,Driver,1
212, 10-24,259.365,alive,No Airbag,No,TRUE,Female,30,1997,1993,Unavailable,Driver,1
213, 10-24,259.365,alive,No Airbag,Yes,FALSE,Female,22,1997,1990,Unavailable,Driver,1
214,40-54,337.753,alive,Airbag,Yes,TRUE,Male,56,1997,1991,Deploy,Driver,1
215,25-39,225.104,alive,No Airbag,No,TRUE,Male,17,1997,1987,Unavailable,Driver,3
216,25-39,225.104,alive,No Airbag,No,TRUE,Male,17,1997,1987,Unavailable,Passenger,1
217, 10-24,1751.948,alive,No Airbag,No,TRUE,Male,19,1997,1987,Unavailable,Driver,1
218,25-39,15.855,alive,Airbag,Yes,TRUE,Male,84,1997,1993,Deploy,Driver,3
219,25-39,30.709,alive,No Airbag,Yes,FALSE,Female,17,1997,1989,Unavailable,Driver,3
220, 10-24,30.709,alive,No Airbag,Yes,TRUE,Female,26,1997,1986,Unavailable,Driver,1
221,25-39,18.946,alive,Airbag,Yes,TRUE,Male,87,1997,1995,Deploy,Driver,4
222, 10-24,128.178,alive,Airbag,Yes,FALSE,Male,36,1997,1995,NoDeploy,Driver,1
223, 10-24,128.178,alive,Airbag,Yes,TRUE,Male,68,1997,1994,Deploy,Driver,1
224, 10-24,128.178,alive,No Airbag,Yes,TRUE,Male,71,1997,1994,Unavailable,Passenger,1
225, 10-24,844.382,alive,No Airbag,Yes,TRUE,Female,40,1997,1991,Unavailable,Driver,0
226, 10-24,18.536,alive,Airbag,Yes,TRUE,Male,21,1997,1995,Deploy,Driver,3
227, 10-24,18.536,alive,No Airbag,Yes,TRUE,Female,81,1997,1993,Unavailable,Driver,3
228,25-39,1266.573,alive,No Airbag,Yes,TRUE,Male,54,1997,1991,Unavailable,Driver,0
229,25-39,114.634,alive,Airbag,Yes,TRUE,Female,22,1997,1996,Deploy,Driver,1
230,25-39,114.634,alive,No Airbag,Yes,TRUE,Male,52,1997,1988,Unavailable,Driver,2
231, 10-24,167.7,alive,Airbag,Yes,FALSE,Female,60,1997,1997,NoDeploy,Driver,1
232, 1-9,1104.733,alive,No Airbag,Yes,FALSE,Female,18,1997,1989,Unavailable,Driver,0
233,25-39,18.536,alive,Airbag,No,FALSE,Male,18,1997,1994,Deploy,Driver,3
234, 10-24,18.536,alive,Airbag,Yes,TRUE,Female,79,1997,1994,Deploy,Driver,3
235, 10-24,18.536,alive,Airbag,Yes,FALSE,Female,73,1997,1994,NoDeploy,Driver,3
236, 10-24,18.536,alive,Airbag,Yes,FALSE,Female,72,1997,1994,NoDeploy,Passenger,3
237, 10-24,12.383,alive,No Airbag,Yes,TRUE,Female,51,1997,1988,Unavailable,Driver,3
238, 10-24,12.383,alive,Airbag,No,FALSE,Male,73,1997,1990,Deploy,Driver,1
239, 10-24,12.383,alive,No Airbag,No,FALSE,Female,56,1997,1990,Unavailable,Passenger,3
240,25-39,111.743,alive,No Airbag,No,TRUE,Male,59,1997,1985,Unavailable,Driver,1
241, 10-24,111.743,alive,Airbag,Yes,FALSE,Female,23,1997,1992,NoDeploy,Driver,0
242, 10-24,344.789,alive,No Airbag,Yes,TRUE,Female,17,1997,1986,Unavailable,Driver,0
243, 10-24,103.654,alive,Airbag,Yes,TRUE,Male,30,1997,1997,Deploy,Driver,0
244, 10-24,103.654,alive,No Airbag,No,TRUE,Female,25,1997,1997,Unavailable,Passenger,2
245,25-39,103.654,alive,No Airbag,No,TRUE,Female,56,1997,1988,Unavailable,Driver,2
246, 10-24,12.383,alive,No Airbag,Yes,TRUE,Male,79,1997,1990,Unavailable,Driver,3
247,25-39,41.302,alive,Airbag,Yes,TRUE,Female,24,1997,1994,Deploy,Driver,1
248,25-39,41.302,alive,No Airbag,Yes,TRUE,Male,22,1997,1994,Unavailable,Passenger,1
249,55+,88.178,alive,No Airbag,No,TRUE,Male,25,1997,1992,Unavailable,Driver,2
250, 10-24,272.079,alive,Airbag,Yes,TRUE,Female,73,1997,1991,Deploy,Driver,0
251,25-39,1577.305,alive,No Airbag,Yes,TRUE,Male,39,1997,1993,Unavailable,Driver,0
252, 10-24,76.373,alive,Airbag,Yes,TRUE,Female,39,1997,1995,Deploy,Driver,2
253, 10-24,76.373,alive,Airbag,Yes,FALSE,Male,37,1997,1995,NoDeploy,Driver,2
254, 10-24,76.373,alive,No Airbag,Yes,TRUE,Female,74,1997,1991,Unavailable,Driver,0
255, 10-24,351.893,alive,Airbag,Yes,FALSE,Male,77,1997,1996,NoDeploy,Driver,0
256, 10-24,351.893,alive,Airbag,Yes,FALSE,Female,76,1997,1996,NoDeploy,Passenger,0
257, 1-9,351.893,alive,No Airbag,Yes,TRUE,Male,20,1997,1989,Unavailable,Driver,0
258,40-54,12.383,alive,No Airbag,Yes,TRUE,Female,24,1997,1987,Unavailable,Driver,3
259,25-39,12.383,alive,No Airbag,No,TRUE,Male,41,1997,1987,Unavailable,Driver,1
260,25-39,12.383,alive,No Airbag,Yes,FALSE,Male,44,1997,1986,Unavailable,Driver,3
261, 10-24,21.343,alive,Airbag,Yes,TRUE,Male,19,1997,1995,Deploy,Driver,3
262, 10-24,21.343,alive,Airbag,No,TRUE,Male,46,1997,1995,Deploy,Driver,3
263, 10-24,21.343,alive,Airbag,No,TRUE,Male,86,1997,1995,Deploy,Passenger,1
264, 10-24,21.343,alive,Airbag,Yes,FALSE,Male,62,1997,1992,Deploy,Driver,0
265,55+,13.374,dead,No Airbag,No,TRUE,Male,23,1997,1986,Unavailable,Driver,4
266,25-39,13.374,alive,No Airbag,Yes,TRUE,Male,26,1997,1994,Unavailable,Driver,3
267, 10-24,44.862,alive,Airbag,Yes,TRUE,Male,78,1997,1996,Deploy,Driver,1
268, 10-24,95.78,alive,No Airbag,No,TRUE,Male,37,1997,1974,Unavailable,Driver,1
269, 10-24,206.706,alive,Airbag,Yes,TRUE,Male,47,1997,1991,Deploy,Driver,2
270, 10-24,206.706,alive,No Airbag,Yes,TRUE,Female,44,1997,1991,Unavailable,Passenger,2
271, 10-24,206.706,alive,Airbag,Yes,TRUE,Male,62,1997,1994,NoDeploy,Driver,2
